FID_1,geometry,Join_Count,PREF,CITY1,CITY2,FirstDate,LastDate,radiation,Elev
0,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.81270,37.69228 140.81270,37.68944 140.81630,37.68944 140.81630,37.69228</coordinates></LinearRing></outerBoundaryIs></Polygon>",43,福島県,相馬郡,飯舘村,2017/08/06 01:13:25,2017/08/06 01:15:45,0.33605,496
1,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.81630,37.69228 140.81630,37.68944 140.81989,37.68944 140.81989,37.69228</coordinates></LinearRing></outerBoundaryIs></Polygon>",32,福島県,相馬郡,飯舘村,2017/08/06 01:13:06,2017/08/06 01:16:04,0.34031,515
2,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.81989,37.68944 140.81989,37.68660 140.82348,37.68660 140.82348,37.68944</coordinates></LinearRing></outerBoundaryIs></Polygon>",39,福島県,,南相馬市,2017/08/06 01:11:38,2017/08/06 01:17:18,0.43949,451
3,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.81989,37.69228 140.81989,37.68944 140.82348,37.68944 140.82348,37.69228</coordinates></LinearRing></outerBoundaryIs></Polygon>",50,福島県,,南相馬市,2017/08/06 01:12:22,2017/08/06 01:16:47,0.46940,490
4,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.82348,37.68944 140.82348,37.68660 140.82708,37.68660 140.82708,37.68944</coordinates></LinearRing></outerBoundaryIs></Polygon>",35,福島県,,南相馬市,2017/08/06 01:11:10,2017/08/06 01:18:04,0.45886,420
5,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.82348,37.69228 140.82348,37.68944 140.82708,37.68944 140.82708,37.69228</coordinates></LinearRing></outerBoundaryIs></Polygon>",36,福島県,,南相馬市,2017/08/06 01:10:37,2017/08/06 01:18:20,0.37083,425
6,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.82708,37.68944 140.82708,37.68660 140.83067,37.68660 140.83067,37.68944</coordinates></LinearRing></outerBoundaryIs></Polygon>",18,福島県,,南相馬市,2017/08/06 01:11:01,2017/08/06 01:18:02,0.34778,409
7,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.82708,37.69228 140.82708,37.68944 140.83067,37.68944 140.83067,37.69228</coordinates></LinearRing></outerBoundaryIs></Polygon>",20,福島県,,南相馬市,2017/08/06 01:10:21,2017/08/06 01:18:34,0.34350,384
8,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.82708,37.69513 140.82708,37.69228 140.83067,37.69228 140.83067,37.69513</coordinates></LinearRing></outerBoundaryIs></Polygon>",20,福島県,,南相馬市,2017/08/06 01:10:03,2017/08/06 01:18:44,0.38350,375
9,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.83067,37.68944 140.83067,37.68660 140.83426,37.68660 140.83426,37.68944</coordinates></LinearRing></outerBoundaryIs></Polygon>",40,福島県,,南相馬市,2017/08/06 01:08:40,2017/08/06 01:20:05,0.33775,301
